user_input,label
i would like to have a landline,4
i want to buy a landline,4
i need to buy a landline,4
i would like to buy a landline,4
i want to purchase a landline,4
i need to purchase a landline,4
i would like to purchase a landline,4
landline,4
what is the colour of yellow car?,4
who is the american president right now?,4
who is barack obama?,4
what is one + one?,4
what is the colour of sky?,4
Where is your house?,4
Where do you live?,4
How do you survive?,4
How will you communicate with me?,4
How often will you communicate with me?,4
What is AI?,4
What is Random Forest?,4
Who invented AI?,4
Can I get a cup of tea?,4
yes,4
no,4
Yes,4
No,4
5 dirhams,4
five dirhams,4
10 dirhams,4
ten dirhams,4
twenty dirhams,4
20 dirhams,4
thirty five dirhams,4
35 dirhams,4
50 dirhams,4
fifty dirhams,4
100 dirhams,4
hundred dirhams,4
one hundred dirhams,4
one fifty dirhams,4
150 dirhams,4
250 dirhams,4
two fifty dirhams,4
500 dirhams,4
five hundred dirhams,4
1000 dirhams,4
thousand dirhams,4
i don't know about that,4
i am unaware of that,4
can we have lunch,4
can we have food,4
can we have breakfast,4
can we have dinner,4
new,5
existing,5
regular,5
old,5
new customer,5
old customer,5
existing customer,5
regular customer,5
i am a new customer,5
i am an existing customer,5
i am a regular customer,5
i am an old customer,5
am new to this store,5
visitor,6
resident,6
i am not a resident of uae,6
i am a resident of uae,6
i am a citizen of uae,6
citizen,6
foreigner,6
i am a foreign citizen,6
i am a foreigner,6
i am from some other country,6
from some other country,6
outsider,6
i am an outsider,6
bill payment,6
pay existing dues,6
pay existing bill,6
due payment,6
i need to pay my bills,6
i want to pay my bills,6
i would like to pay my bills,6
i need to pay my dues,6
i want to pay my dues,6
i would like to pay my dues,6
i need to go to bill payment,6
i want to go to bill payment,6
i would like to go to bill payment,6
i need to pay my existing bills,6
i want to pay my existing bills,6
i would like to pay my existing bills,6
i need to pay my existing dues,6
i want to pay my existing dues,6
i would like to pay my existing dues,6
visa,6
master,6
master card,6
other card,6
other,6
i dont want a phone,7
i don't want a phone,7
i dont want a mobile phone,7
i don't want a mobile phone,7
i dont need a phone,7
i don't need a phone,7
i dont need a mobile phone,7
i don't need a mobile phone,7
i am not looking for a phone,7
i am not looking for a mobile phone,7
i dont want a plan,8
i don't want a plan,8
i dont want a gsm plan,8
i don't want a gsm plan,8
i dont need a plan,8
i don't need a plan,8
i dont need a gsm plan,8
i don't need a gsm plan,8
i am not looking for a plan,8
i am not looking for a gsm plan,8
